	Description	 Category 	 Subcategory 	 Payment 	 Date 	 Gains/Expenses 	Checking Balance		Is Curent Balance <$0?	Row # In Table	Next <$0 Balance Amount	Date <$0 Balance Occurs
	Costco	 Wants 	 Free Spending 	 Chase CC 	3/6/2021	 $ (10.87)	 $ 1,244.27 		FALSE	-1	N/A	N/A
	Total Wine	 Wants 	 Free Spending 	 Chase CC 	3/6/2021	 $ (43.51)	 $ 1,244.27 		FALSE	-1	N/A	N/A
	Saguaro NP Store (2)	 Wants 	 Free Spending 	 Chase CC 	3/7/2021	 $ (2.99)	 $ 1,244.27 		FALSE	-1	N/A	N/A
	Circle K	 Wants 	 Free Spending 	 Chase CC 	3/7/2021	 $ (5.66)	 $ 1,244.27 		FALSE	-1	N/A	N/A
	Saguaro NP Store (1)	 Wants 	 Free Spending 	 Chase CC 	3/7/2021	 $ (30.95)	 $ 1,244.27 		FALSE	-1	N/A	N/A
	Circle K	 Needs 	 Gas 	 Citi CC 	3/7/2021	 $ (53.51)	 $ 1,244.27 		FALSE	-1	N/A	N/A
	America the Beautiful Pass	 Wants 	 Free Spending 	 Chase CC 	3/7/2021	 $ (80.00)	 $ 1,244.27 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	CC Payment	Checking	3/8/2021	 $ (8.61)	 $ 1,235.66 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Amazon CC 	3/8/2021	 $ (12.21)	 $ 1,235.66 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	3/10/2021	 $ (10.00)	 $ 1,235.66 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	3/10/2021	 $ (10.00)	 $ 1,235.66 		FALSE	-1	N/A	N/A
	Coinbase	Savings	Crypto Savings	Checking	3/12/2021	 $ (40.00)	 $ 1,195.66 		FALSE	-1	N/A	N/A
	Ralph's	 Needs 	 Groceries 	 Citi CC 	3/12/2021	 $ (59.56)	 $ 1,195.66 		FALSE	-1	N/A	N/A
	Etsy	 Wants 	 Free Spending 	 Chase CC 	3/12/2021	 $ (66.00)	 $ 1,195.66 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	Checking	3/12/2021	 $ (98.14)	 $ 1,097.52 		FALSE	-1	N/A	N/A
	Walmart	 Needs 	 Groceries 	 Chase CC 	3/13/2021	 $ (21.95)	 $ 1,097.52 		FALSE	-1	N/A	N/A
	Trader Joe's	 Needs 	 Groceries 	 Citi CC 	3/13/2021	 $ (41.36)	 $ 1,097.52 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	3/13/2021	 $ (59.51)	 $ 1,097.52 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	3/13/2021	 $ (193.87)	 $ 1,097.52 		FALSE	-1	N/A	N/A
	Federal Loans	 Needs 	Student Loans	Checking	3/15/2021	 $ (108.05)	 $ 989.47 		FALSE	-1	N/A	N/A
	Reimbursement	Wants	Free Spending	Amazon CC	3/16/2021	 $ 1.83 	 $ 989.47 		FALSE	-1	N/A	N/A
	Reimbursement	Wants	Free Spending	Amazon CC	3/16/2021	 $ 0.50 	 $ 989.47 		FALSE	-1	N/A	N/A
	Laundry	Needs	Laundry	Chase CC	3/16/2021	 $ (10.00)	 $ 989.47 		FALSE	-1	N/A	N/A
	Stimulus Check	Income	Earnings	Checking	3/17/2021	 $ 1,400.00 	 $ 2,389.47 		FALSE	-1	N/A	N/A
	Emergency Savings	Savings	Emergency Savings	Checking	3/17/2021	 $ (500.00)	 $ 1,889.47 		FALSE	-1	N/A	N/A
	Payday	Income	Earnings	Checking	3/19/2021	 $ 1,642.21 	 $ 3,531.68 		FALSE	-1	N/A	N/A
	Reimbursement	Wants	Free Spending	Amazon CC	3/19/2021	 $ 0.50 	 $ 3,531.68 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	3/19/2021	 $ (10.00)	 $ 3,531.68 		FALSE	-1	N/A	N/A
	Coinbase	Savings	Crypto Savings	Checking	3/19/2021	 $ (50.00)	 $ 3,481.68 		FALSE	-1	N/A	N/A
	Emergency Savings	Savings	Emergency Savings	Checking	3/19/2021	 $ (100.00)	 $ 3,381.68 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	3/19/2021	 $ (100.00)	 $ 3,281.68 		FALSE	-1	N/A	N/A
	Roth IRA Contribution	Savings	Retirement	Checking	3/19/2021	 $ (200.00)	 $ 3,081.68 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	CC Payment	Checking	3/19/2021	 $ (448.57)	 $ 2,633.11 		FALSE	-1	N/A	N/A
	Wingstop	 Wants 	 Free Spending 	 Chase CC 	3/21/2021	 $ (18.51)	 $ 2,633.11 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	CC Payment	Checking	3/22/2021	 $ (152.21)	 $ 2,480.90 		FALSE	-1	N/A	N/A
	LA Fitness	Wants	Subscriptions	Chase CC	3/23/2021	 $ (4.67)	 $ 2,480.90 		FALSE	-1	N/A	N/A
	LA Fitness	Wants	Subscriptions	Chase CC	3/23/2021	 $ (34.99)	 $ 2,480.90 		FALSE	-1	N/A	N/A
	LA Fitness	Wants	Subscriptions	Chase CC	3/23/2021	 $ (46.05)	 $ 2,480.90 		FALSE	-1	N/A	N/A
	ECSI Loans	Needs	Student Loans	Checking	3/23/2021	 $ (500.00)	 $ 1,980.90 		FALSE	-1	N/A	N/A
	Savings Transfer	 Income 	Savings Transfer	Checking	3/25/2021	 $ 400.00 	 $ 2,380.90 		FALSE	-1	N/A	N/A
	Del Taco	 Wants 	Free Spending	Chase CC	3/25/2021	 $ (3.86)	 $ 2,380.90 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	3/25/2021	 $ (15.00)	 $ 2,380.90 		FALSE	-1	N/A	N/A
	Roth IRA Contribution	 Savings 	Retirement	Checking	3/25/2021	 $ (400.00)	 $ 1,980.90 		FALSE	-1	N/A	N/A
	Starbucks	Wants	Free Spending	Amazon CC	3/26/2021	 $ (10.00)	 $ 1,980.90 		FALSE	-1	N/A	N/A
	Chronic Tacos	Wants	Free Spending	Chase CC	3/26/2021	 $ (11.74)	 $ 1,980.90 		FALSE	-1	N/A	N/A
	In N Out	Wants	Free Spending	Chase CC	3/26/2021	 $ (12.12)	 $ 1,980.90 		FALSE	-1	N/A	N/A
	Bevmo	Wants	Free Spending	Chase CC	3/26/2021	 $ (15.40)	 $ 1,980.90 		FALSE	-1	N/A	N/A
	Ralph's	Wants	Free Spending	Chase CC	3/26/2021	 $ (19.37)	 $ 1,980.90 		FALSE	-1	N/A	N/A
	Coinbase	Savings	Crypto Savings	Checking	3/26/2021	 $ (50.00)	 $ 1,930.90 		FALSE	-1	N/A	N/A
	Draftkings Refund	 Wants 	 Free Spending 	 Chase CC 	3/27/2021	 $ 100.00 	 $ 1,930.90 		FALSE	-1	N/A	N/A
	Draftkings	 Wants 	Free Spending	Chase CC	3/27/2021	 $ (100.00)	 $ 1,930.90 		FALSE	-1	N/A	N/A
	Apple Music	 Wants 	Subscriptions	Chase CC	3/28/2021	 $ (9.99)	 $ 1,930.90 		FALSE	-1	N/A	N/A
	Disney+	 Wants 	Subscriptions	Chase CC	3/28/2021	 $ (13.99)	 $ 1,930.90 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	3/28/2021	 $ (20.68)	 $ 1,930.90 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	Checking	3/28/2021	 $ (73.99)	 $ 1,856.91 		FALSE	-1	N/A	N/A
	Valhalla	 Wants 	 Subscriptions 	 Checking 	3/28/2021	 $ (85.00)	 $ 1,771.91 		FALSE	-1	N/A	N/A
	Bovada	 Wants 	 Free Spending 	 Chase CC 	3/28/2021	 $ (99.98)	 $ 1,771.91 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	Checking	3/28/2021	 $ (139.00)	 $ 1,632.91 		FALSE	-1	N/A	N/A
	Fogo De Chao	 Wants 	 Free Spending 	 Chase CC 	3/28/2021	 $ (180.00)	 $ 1,632.91 		FALSE	-1	N/A	N/A
	Reimbursement	Wants	Free Spending	Amazon CC	3/30/2021	 $ 0.50 	 $ 1,632.91 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	3/31/2021	 $ 86.07 	 $ 1,718.98 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	4/2/2021	 $ 1,642.21 	 $ 3,361.19 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	4/2/2021	 $ (10.00)	 $ 3,361.19 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	4/2/2021	 $ (50.00)	 $ 3,311.19 		FALSE	-1	N/A	N/A
	Apple CC	 Wants 	 Free Spending 	 Checking 	4/2/2021	 $ (53.12)	 $ 3,258.07 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	4/2/2021	 $ (100.00)	 $ 3,158.07 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	4/2/2021	 $ (100.00)	 $ 3,058.07 		FALSE	-1	N/A	N/A
	Roth IRA Contribution	 Savings 	 Retirement 	 Checking 	4/2/2021	 $ (200.00)	 $ 2,858.07 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	4/2/2021	 $ (1,034.39)	 $ 1,823.68 		FALSE	-1	N/A	N/A
	Poke Me	 Wants 	 Free Spending 	 Chase CC 	4/5/2021	 $ (15.07)	 $ 1,823.68 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	4/5/2021	 $ (61.11)	 $ 1,823.68 		FALSE	-1	N/A	N/A
	DashPass	 Wants 	 Free Spending 	 Chase CC 	4/7/2021	 $ (4.99)	 $ 1,823.68 		FALSE	-1	N/A	N/A
	DoorDash	 Wants 	 Free Spending 	 Chase CC 	4/7/2021	 $ (21.00)	 $ 1,823.68 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	4/7/2021	 $ (49.60)	 $ 1,774.08 		FALSE	-1	N/A	N/A
	Chevron	 Wants 	 Free Spending 	 Chase CC 	4/9/2021	 $ (19.98)	 $ 1,774.08 		FALSE	-1	N/A	N/A
	Jersey Mike's	 Wants 	 Free Spending 	 Chase CC 	4/9/2021	 $ (23.43)	 $ 1,774.08 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	4/9/2021	 $ (50.00)	 $ 1,724.08 		FALSE	-1	N/A	N/A
	Looney Bean	 Wants 	 Free Spending 	 Chase CC 	4/10/2021	 $ (15.05)	 $ 1,724.08 		FALSE	-1	N/A	N/A
	Erick Schat's	 Wants 	 Free Spending 	 Chase CC 	4/10/2021	 $ (70.63)	 $ 1,724.08 		FALSE	-1	N/A	N/A
	Von's	 Wants 	 Free Spending 	 Chase CC 	4/10/2021	 $ (105.72)	 $ 1,724.08 		FALSE	-1	N/A	N/A
	Mammoth Brewing	 Wants 	 Free Spending 	 Chase CC 	4/11/2021	 $ (9.74)	 $ 1,724.08 		FALSE	-1	N/A	N/A
	Mammoth Brewing	 Wants 	 Free Spending 	 Chase CC 	4/11/2021	 $ (55.71)	 $ 1,724.08 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	4/12/2021	 $ (10.00)	 $ 1,714.08 		FALSE	-1	N/A	N/A
	Domino's	 Wants 	 Free Spending 	 Chase CC 	4/12/2021	 $ (27.00)	 $ 1,714.08 		FALSE	-1	N/A	N/A
	ECSI Loans	 Needs 	Student Loans	 Checking 	4/13/2021	 $ (260.00)	 $ 1,454.08 		FALSE	-1	N/A	N/A
	DoorDash	 Wants 	 Free Spending 	 Chase CC 	4/14/2021	 $ (18.00)	 $ 1,454.08 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	4/14/2021	 $ (22.00)	 $ 1,432.08 		FALSE	-1	N/A	N/A
	Federal Loans	 Needs 	Student Loans	 Checking 	4/14/2021	 $ (108.05)	 $ 1,324.03 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	4/15/2021	 $ (58.88)	 $ 1,265.15 		FALSE	-1	N/A	N/A
	Ralph's	 Needs 	 Groceries 	 Citi CC 	4/15/2021	 $ (63.86)	 $ 1,265.15 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	CC Payment	Checking	4/15/2021	 $ (942.89)	 $ 322.26 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	4/16/2021	 $ 1,642.20 	 $ 1,964.46 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	4/16/2021	 $ (50.00)	 $ 1,914.46 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	4/16/2021	 $ (100.00)	 $ 1,814.46 		FALSE	-1	N/A	N/A
	Roth IRA Contribution	 Savings 	 Retirement 	 Checking 	4/16/2021	 $ (200.00)	 $ 1,614.46 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	4/19/2021	 $ (8.28)	 $ 1,614.46 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	4/19/2021	 $ (10.00)	 $ 1,614.46 		FALSE	-1	N/A	N/A
	Withdrawal	 Wants 	 Free Spending 	 Checking 	4/19/2021	 $ (40.00)	 $ 1,574.46 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	4/19/2021	 $ (259.62)	 $ 1,314.84 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	4/20/2021	 $ (20.00)	 $ 1,294.84 		FALSE	-1	N/A	N/A
	DoorDash	 Wants 	 Free Spending 	 Chase CC 	4/20/2021	 $ (25.00)	 $ 1,294.84 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	4/20/2021	 $ (34.99)	 $ 1,294.84 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	 Free Spending 	 Citi CC 	4/21/2021	 $ (16.47)	 $ 1,294.84 		FALSE	-1	N/A	N/A
	Deposit	 Income 	 Earnings 	 Checking 	4/22/2021	 $ 200.00 	 $ 1,494.84 		FALSE	-1	N/A	N/A
	Trader Joe's	 Needs 	 Groceries 	 Citi CC 	4/22/2021	 $ (63.05)	 $ 1,494.84 		FALSE	-1	N/A	N/A
	Withdrawal	 Income 	 Earnings 	 Checking 	4/22/2021	 $ (100.00)	 $ 1,394.84 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	4/23/2021	 $ (50.00)	 $ 1,344.84 		FALSE	-1	N/A	N/A
	CVS	 Wants 	Free Spending	Chase CC	4/25/2021	 $ (3.87)	 $ 1,344.84 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	Free Spending	Amazon CC	4/25/2021	 $ (20.55)	 $ 1,344.84 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	Free Spending	Amazon CC	4/26/2021	 $ (35.44)	 $ 1,344.84 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	4/26/2021	 $ (200.00)	 $ 1,144.84 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	4/27/2021	 $ (20.00)	 $ 1,124.84 		FALSE	-1	N/A	N/A
	Apple Music	 Wants 	Subscriptions	Chase CC	4/28/2021	 $ (9.99)	 $ 1,124.84 		FALSE	-1	N/A	N/A
	Disney+	 Wants 	Subscriptions	Chase CC	4/28/2021	 $ (13.99)	 $ 1,124.84 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	Checking	4/28/2021	 $ (73.99)	 $ 1,050.85 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	Checking	4/28/2021	 $ (139.00)	 $ 911.85 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	4/30/2021	 $ 61.79 	 $ 973.64 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	4/30/2021	 $ 1,642.22 	 $ 2,615.86 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	4/30/2021	 $ (11.48)	 $ 2,615.86 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	4/30/2021	 $ (50.00)	 $ 2,565.86 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	4/30/2021	 $ (64.94)	 $ 2,565.86 		FALSE	-1	N/A	N/A
	Valhalla	 Wants 	 Subscriptions 	 Checking 	4/30/2021	 $ (85.00)	 $ 2,480.86 		FALSE	-1	N/A	N/A
	Philz Coffee	 Wants 	 Free Spending 	 Chase CC 	5/1/2021	 $ (4.14)	 $ 2,480.86 		FALSE	-1	N/A	N/A
	PetSmart	 Wants 	 Free Spending 	 Chase CC 	5/1/2021	 $ (18.59)	 $ 2,480.86 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	5/1/2021	 $ (22.83)	 $ 2,480.86 		FALSE	-1	N/A	N/A
	Target	 Needs 	 Groceries 	 Citi CC 	5/1/2021	 $ (31.59)	 $ 2,480.86 		FALSE	-1	N/A	N/A
	HomeGoods	 Wants 	 Free Spending 	 Chase CC 	5/1/2021	 $ (87.59)	 $ 2,480.86 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	5/1/2021	 $ (1,035.39)	 $ 1,445.47 		FALSE	-1	N/A	N/A
	Domino's	 Wants 	 Free Spending 	 Chase CC 	5/2/2021	 $ (24.15)	 $ 1,445.47 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	5/2/2021	 $ (131.33)	 $ 1,445.47 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	5/3/2021	 $ (20.00)	 $ 1,425.47 		FALSE	-1	N/A	N/A
	Apple CC	 Wants 	 Free Spending 	 Checking 	5/3/2021	 $ (53.12)	 $ 1,372.35 		FALSE	-1	N/A	N/A
	Tax Preparation Fee	 Needs 	 Taxes 	 Checking 	5/3/2021	 $ (100.00)	 $ 1,272.35 		FALSE	-1	N/A	N/A
	OC Court	 Needs 	 Emergency 	 Checking 	5/3/2021	 $ (288.61)	 $ 983.74 		FALSE	-1	N/A	N/A
	DoorDash	 Wants 	 Subscriptions 	 Chase CC 	5/7/2021	 $ (4.99)	 $ 983.74 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	5/7/2021	 $ (8.40)	 $ 983.74 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	5/7/2021	 $ (50.00)	 $ 933.74 		FALSE	-1	N/A	N/A
	Mother's Day	 Income 	 Reimbursements 	 Checking 	5/8/2021	 $ 55.00 	 $ 988.74 		FALSE	-1	N/A	N/A
	Parking	 Wants 	 Free Spending 	 Chase CC 	5/8/2021	 $ (1.80)	 $ 988.74 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	5/8/2021	 $ (65.99)	 $ 922.75 		FALSE	-1	N/A	N/A
	Mother's Day	 Wants 	 Free Spending 	 Chase CC 	5/8/2021	 $ (109.77)	 $ 922.75 		FALSE	-1	N/A	N/A
	Parking	 Wants 	 Free Spending 	 Chase CC 	5/9/2021	 $ (7.80)	 $ 922.75 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	5/9/2021	 $ (47.79)	 $ 922.75 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	5/10/2021	 $ (20.00)	 $ 902.75 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	5/10/2021	 $ (29.95)	 $ 872.80 		FALSE	-1	N/A	N/A
	HiroNori	 Wants 	 Free Spending 	 Checking 	5/10/2021	 $ (31.52)	 $ 841.28 		FALSE	-1	N/A	N/A
	CVS	 Wants 	 Free Spending 	 Citi CC 	5/10/2021	 $ (32.12)	 $ 841.28 		FALSE	-1	N/A	N/A
	Stephanie	 Wants 	 Free Spending 	 Checking 	5/10/2021	 $ (90.00)	 $ 751.28 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	5/14/2021	 $ 1,642.20 	 $ 2,393.48 		FALSE	-1	N/A	N/A
	Del Taco	 Wants 	 Free Spending 	 Chase CC 	5/14/2021	 $ (6.32)	 $ 2,393.48 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	5/14/2021	 $ (11.48)	 $ 2,393.48 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	5/14/2021	 $ (50.00)	 $ 2,343.48 		FALSE	-1	N/A	N/A
	Federal Loans	 Needs 	Student Loans	 Checking 	5/14/2021	 $ (108.05)	 $ 2,235.43 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	5/14/2021	 $ (200.00)	 $ 2,035.43 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	5/14/2021	 $ (762.42)	 $ 1,273.01 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Chase CC 	5/15/2021	 $ (2.69)	 $ 1,273.01 		FALSE	-1	N/A	N/A
	Nate's Korner	 Wants 	 Free Spending 	 Chase CC 	5/15/2021	 $ (12.51)	 $ 1,273.01 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	 Free Spending 	 Citi CC 	5/16/2021	 $ (14.96)	 $ 1,273.01 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	5/17/2021	 $ (20.00)	 $ 1,273.01 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	5/17/2021	 $ (200.00)	 $ 1,073.01 		FALSE	-1	N/A	N/A
	Federal Taxes	 Needs 	 Taxes 	 Checking 	5/17/2021	 $ (245.00)	 $ 828.01 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	5/17/2021	 $ (301.02)	 $ 526.99 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	5/18/2021	 $ (13.77)	 $ 526.99 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	5/18/2021	 $ (20.00)	 $ 506.99 		FALSE	-1	N/A	N/A
	DoorDash	 Wants 	 Free Spending 	 Chase CC 	5/18/2021	 $ (25.00)	 $ 506.99 		FALSE	-1	N/A	N/A
Ericka Reimbursement	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	5/20/2021	 $ (34.99)	 $ 506.99 		FALSE	-1	N/A	N/A
	Walmart	 Needs 	 Groceries 	 Chase CC 	5/20/2021	 $ (61.90)	 $ 506.99 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	5/20/2021	 $ (318.74)	 $ 506.99 		FALSE	-1	N/A	N/A
	Reimbursement	 Wants 	 Free Spending 	 Chase CC 	5/21/2021	 $ 0.57 	 $ 506.99 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	5/21/2021	 $ (50.00)	 $ 456.99 		FALSE	-1	N/A	N/A
	Reimbursement	 Income 	 Reimbursements 	 Amazon CC 	5/22/2021	 $ 1.00 	 $ 456.99 		FALSE	-1	N/A	N/A
	Left Coast Brewery	 Wants 	 Free Spending 	 Chase CC 	5/22/2021	 $ (30.00)	 $ 456.99 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	5/22/2021	 $ (53.53)	 $ 456.99 		FALSE	-1	N/A	N/A
	REI	 Wants 	 Free Spending 	 Chase CC 	5/22/2021	 $ (71.33)	 $ 456.99 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	5/23/2021	 $ (9.38)	 $ 456.99 		FALSE	-1	N/A	N/A
	CC Rewards	 Income 	 Reimbursements 	 Checking 	5/24/2021	 $ 71.33 	 $ 528.32 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	5/24/2021	 $ (10.23)	 $ 528.32 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	5/24/2021	 $ (20.00)	 $ 508.32 		FALSE	-1	N/A	N/A
	Stephanie	 Wants 	 Free Spending 	 Checking 	5/24/2021	 $ (50.00)	 $ 458.32 		FALSE	-1	N/A	N/A
	Renter's Insurance	 Needs 	 Renter's Insurance 	 Checking 	5/24/2021	 $ (59.50)	 $ 398.82 		FALSE	-1	N/A	N/A
	CA Tax Return	 Income 	 Tax Return 	 Checking 	5/26/2021	 $ 319.00 	 $ 717.82 		FALSE	-1	N/A	N/A
	Withdrawal	 Wants 	Free Spending	Checking	5/27/2021	 $ (40.00)	 $ 677.82 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	5/28/2021	 $ 2,298.79 	 $ 2,976.61 		FALSE	-1	N/A	N/A
